Idade,CT
0.00,10.20
1.00,15.10
1.00,14.70
1.00,15.80
1.00,16.50
1.00,21.10
1.00,17.50
1.00,15.50
2.00,21.80
2.00,19.80
2.00,17.70
2.00,16.80
2.00,18.40
2.00,17.50
2.00,20.60
2.00,20.50
2.00,19.70
2.00,17.20
2.00,16.50
2.00,23.20
2.00,26.00
2.00,20.50
2.00,25.90
2.00,21.50
2.00,20.00
2.00,19.00
2.00,19.50
3.00,22.90
3.00,24.90
3.00,22.60
3.00,22.50
3.00,28.20
3.00,25.80
3.00,27.80
3.00,26.30
3.00,25.60
3.00,23.40
3.00,24.50
3.00,18.70
3.00,20.50
3.00,17.20
3.00,20.30
3.00,23.20
3.00,22.50
3.00,22.40
3.00,20.90
3.00,21.00
3.00,21.10
3.00,23.00
3.00,25.10
3.00,25.60
3.00,25.00
3.00,24.30
3.00,22.50
3.00,23.40
3.00,35.80
3.00,24.00
3.00,28.10
3.00,25.80
3.00,26.20
3.00,22.80
3.00,23.30
3.00,23.00
3.00,28.00
3.00,24.00
3.00,24.00
3.00,25.30
3.00,25.50
3.00,26.00
3.00,22.40
3.00,24.70
3.00,22.50
3.00,29.00
3.00,30.50
3.00,27.00
3.00,28.90
3.00,23.70
3.00,24.50
3.00,23.00
3.00,23.30
3.00,19.70
3.00,19.50
3.00,23.30
3.00,26.10
3.00,30.40
3.00,29.30
3.00,32.00
3.00,27.40
3.00,23.80
3.00,21.50
3.00,28.90
3.00,28.10
3.00,26.60
3.00,27.20
3.00,33.40
4.00,24.90
4.00,26.50
4.00,29.80
4.00,26.90
4.00,29.50
4.00,24.80
4.00,24.70
4.00,26.80
4.00,25.60
4.00,25.20
4.00,26.00
4.00,29.80
4.00,36.30
4.00,38.00
4.00,32.10
4.00,30.50
4.00,26.20
4.00,27.80
4.00,26.20
4.00,25.00
4.00,27.50
4.00,27.20
4.00,26.00
4.00,30.40
4.00,34.50
4.00,28.00
4.00,32.00
4.00,23.70
4.00,25.33
4.00,31.80
4.00,28.50
4.00,31.00
4.00,28.50
4.00,28.10
4.00,27.00
4.00,26.80
4.00,33.50
4.00,38.00
4.00,32.00
4.00,33.80
4.00,35.20
4.00,31.70
4.00,28.10
4.00,30.00
4.00,42.40
4.00,44.50
4.00,31.50
4.00,30.00
4.00,28.50
4.00,26.00
4.00,38.70
4.00,35.90
4.00,43.50
5.00,35.50
5.00,26.80
5.00,33.30
5.00,43.60
5.00,31.70
5.00,37.80
5.00,35.10
5.00,33.40
5.00,40.50
5.00,47.00
5.00,41.20
5.00,44.80
5.00,41.20
5.00,38.50
5.00,36.50
5.00,35.60
5.00,34.90
5.00,37.50
5.00,46.50
5.00,37.80
5.00,45.00
5.00,37.10
5.00,45.50
5.00,44.60
5.00,40.00
5.00,37.40
5.00,35.20
5.00,41.50
5.00,41.40
5.00,34.50
5.00,34.10
5.00,47.20
5.00,30.40
5.00,30.00
5.00,43.00
5.00,41.10
5.00,51.00
5.00,47.10
5.00,48.70
5.00,52.00
5.00,47.50
5.00,41.20
5.00,40.70
5.00,33.00
5.00,32.40
5.00,33.50
5.00,35.30
5.00,35.70
5.00,44.60
5.00,46.20
5.00,47.50
5.00,48.50
5.00,42.00
5.00,39.30
5.00,47.00
5.00,42.90
5.00,42.15
5.00,50.00
5.00,48.00
5.00,40.00
5.00,34.50
5.00,53.00
5.00,50.00
6.00,33.40
6.00,48.20
6.00,43.23
6.00,40.70
6.00,46.30
6.00,34.60
6.00,37.50
6.00,36.50
6.00,39.00
6.00,47.20
6.00,32.10
6.00,39.70
6.00,46.50
6.00,41.30
6.00,38.20
6.00,42.50
6.00,40.00
6.00,36.20
6.00,39.90
6.00,43.30
6.00,43.70
6.00,43.00
6.00,46.30
6.00,47.80
6.00,47.50
6.00,45.00
6.00,37.50
6.00,46.30
6.00,45.50
6.00,48.60
6.00,45.20
6.00,44.60
6.00,40.40
6.00,40.00
6.00,44.60
6.00,43.50
6.00,45.50
6.00,43.50
6.00,43.00
6.00,36.50
6.00,51.00
6.00,48.50
6.00,54.00
6.00,38.50
6.00,40.00
6.00,41.00
6.00,48.00
6.00,47.60
7.00,49.20
7.00,44.00
7.00,46.70
7.00,49.30
7.00,52.70
7.00,55.80
7.00,53.50
7.00,44.00
7.00,48.50
7.00,52.22
7.00,39.50
7.00,44.08
8.00,47.30
8.00,43.90
8.00,44.30
8.00,50.30
8.00,44.80
8.00,42.00
8.00,50.20
9.00,51.00
9.00,44.29
9.00,50.30
9.00,40.50
9.00,40.00
9.00,48.50
9.00,52.70
9.00,44.50
9.00,44.60
10.00,52.60
10.00,45.00
11.00,50.10
12.00,53.00
11.00,47.20
11.00,45.70
13.00,56.00
18.00,50.00
